BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
367,5.,1750 or earlier,"chorale setting ""In allen meinen Taten""",C maj.,SATB,39: 236,III/2.2: 81,after Z 2276; text by Fleming,00437
368,5.,1750 or earlier,"chorale setting ""In dulci jubilo""",F maj.,SATB,39: 236,III/2.2: 83,after Z 4947,00438
352,5.,1750 or earlier,"chorale setting ""Jesu, der du meine Seele""",A min.,SATB,39: 227,III/2.2: 22,after Z 6804; text by Rist,00422
353,5.,c. 1735 or earlier,"chorale setting ""Jesu, der du meine Seele""",G min.,SATB,39: 228,III/2.1: 26 III/2.2: 160,after Z 6804; text by Rist,00423
354,5.,c. 1735 or earlier,"chorale setting ""Jesu, der du meine Seele""",B♭ Dor.,SATB,39: 228,III/2.1: 99 III/2.2: 211,after Z 6804; text by Rist,00424
355,5.,1750 or earlier,"chorale setting ""Jesu, der du selbsten wohl""",A maj.,SATB,39: 229,III/2.2: 97,after Z 6335; text by Bapzien ,00425
356,5.,1750 or earlier,"chorale setting ""Jesu, du mein liebstes Leben""",G min.,SATB,39: 230,III/2.2: 144,after Z 7891; text by Rist,00426
357,5.,1750 or earlier,"chorale setting ""Jesu, Jesu, du bist mein""",C Dor.,SATB,39: 230,III/2.2: 144,"↔ BWV 470, Z 6446",00427
358,5.,c. 1735 or earlier,"chorale setting ""Jesu, meine Freude""",D min.,SATB,39: 231,III/2.1: 80 III/2.2: 204,"after Z 8032; text by Franck, J.",00428
360,5.,c. 1735 or earlier,"chorale setting ""Jesu, meiner Seelen Wonne""",B♭ maj.,SATB,39: 232,III/2.1: 73 III/2.2: 201,after Z 6551a; text by Janus,00430
359,5.,1750 or earlier,"chorale setting ""Jesu, meiner Seelen Wonne""",A maj.,SATB,39: 232,III/2.2: 209,after BWV 154/3; text by Janus,00429
361,5.,c. 1735 or earlier,"chorale setting ""Jesu, meines Herzens Freud""",B♭ maj.,SATB,39: 233,III/2.1: 34 III/2.2: 157,after Z 4797–4798; text by Flittner ,00431
362,5.,c. 1735 or earlier,"chorale setting ""Jesu, nun sei gepreiset""",B♭ maj.,SATB,39: 234,III/2.1: 12 III/2.2: 149,after Z 8477a; text by Hermann,00432
364,5.,1750 or earlier,"chorale setting ""Jesus Christus, unser Heiland, der den Tod überwand""",G Dor.,SATB,39: 235,III/2.2: 99,after Z 1978; text by Luther,00434
363,5.,1750 or earlier,"chorale setting ""Jesus Christus, unser Heiland, der von uns den Gottes Zorn wandt""",E min.,SATB,39: 234,III/2.2: 19,after Z 1576; text by Luther,00433
365,5.,1750 or earlier,"chorale setting ""Jesus, meine Zuversicht""",C maj.,SATB,39: 235,III/2.2: 100,after Z 3432b; text by Louise Henriette of N,00435
369,5.,1750 or earlier,"chorale setting ""Keinen hat Gott verlassen""",E min.,SATB,39: 237,III/2.2: 73,after Z 5395,00439
370,5.,1750 or earlier,"chorale setting ""Komm, Gott Schöpfer, Heiliger Geist""",C maj.,SATB,39: 238,III/2.2: 105,after Z 295; text by Luther,00440
371,5.,1750 or earlier,"chorale setting ""Kyrie, Gott Vater in Ewigkeit""",A min.,SATB,39: 238,III/2.2: 74,after Z 8600c,00441
372,5.,1750 or earlier,"chorale setting ""Lass, o Herr, dein Ohr sich neigen""",G Dor.,SATB,39: 240,III/2.2: 128,after Z 6863; text by Opitz,00442
373,5.,1750 or earlier,"chorale setting ""Liebster Jesu, wir sind hier""",G maj.,SATB,39: 240,"III/2.2: 74, 190",after Z 3498b; text by Clausnitzer,00443
374,5.,1750 or earlier,"chorale setting ""Lobet den Herren, denn er ist sehr""",G Dor.,SATB,39: 241,III/2.2: 134,after Z 975; text after Ps. 147,00444
375,5.,c. 1735 or earlier,"chorale setting ""Lobt Gott, ihr Christen, allzugleich""",G maj.,SATB,39: 241,III/2.1: 45 III/2.2: 164,after Z 198; text by Herman,00445
376,5.,1750 or earlier,"chorale setting ""Lobt Gott, ihr Christen allzugleich""",A maj.,SATB,39: 242,III/2.2: 197,after Z 198; text by Herman,00446
377,5.,1750 or earlier,"chorale setting ""Machs mit mir, Gott, nach deiner Güt""",D maj.,SATB,39: 242,III/2.2: 26,after Z 2383; text by Schein,00447
378,5.,1750 or earlier,"chorale setting ""Mein Augen schließ ich jetzt""",G maj.,SATB,39: 243,III/2.2: 153,after Z 1067; text by Löwenstern,00448
379,5.,1750 or earlier,"chorale setting ""Meinen Jesum lass ich nicht, Jesus""",G maj.,SATB,39: 243,III/2.2: 87,after Z 3448a,00449
380,5.,c. 1735 or earlier,"chorale setting ""Meinen Jesum lass ich nicht, weil""",E♭ maj.,SATB,39: 244,III/2.1: 62 III/2.2: 178,after Z 3449; text by Keymann,00450
324,5.,1750 or earlier,"chorale setting ""Meine Seele erhebet den Herren""",E min.,SATB,39: 212,III/2.2: 73,after German Magnificat; text by Luther after Lk. 1:46–55,00394
381,5.,1750 or earlier,"chorale setting ""Meines Lebens letzte Zeit""",E min.,SATB,39: 244,III/2.2: 199,after Z 6380; ↔ BWV 488,00451
382,5.,c. 1735 or earlier,"chorale setting ""Mit Fried und Freud ich fahr dahin""",G Dor.,SATB,39: 245,III/2.1: 40 III/2.2: 28,after Z 3986; text by Luther,00452
383,5.,1750 or earlier,"chorale setting ""Mitten wir im Leben sind""",A min.,SATB,39: 246,III/2.2: 124,after Z 8502; text by Luther after Media vita,00453
384,5.,1750 or earlier,"chorale setting ""Nicht so traurig, nicht so sehr""",C min.,SATB,39: 247,III/2.2: 86,↔ Z 3355; text by Gerhardt,00454
385,5.,c. 1735 or earlier,"chorale setting ""Nun bitten wir den Heiligen Geist""",A maj.,SATB,39: 247,III/2.1: 76 III/2.2: 22,after Z 2029a; text by Luther,00455
386,5.,c. 1735 or earlier,"chorale setting ""Nun danket alle Gott""",A maj.,SATB,39: 248,III/2.1: 101 III/2.2: 20,after Z 5142; text by Rinkart,00456
387,5.,1750 or earlier,"chorale setting ""Nun freut euch, Gottes Kinder all""",D Dor.,SATB,39: 248,III/2.2: 104,after Z 364; text by Alberus,00457
388,5.,1750 or earlier,"chorale setting ""Nun freut euch, lieben Christen gmein""",G maj.,SATB,39: 248,III/2.2: 103,after Z 4427; text by Luther,00458
389,5.,c. 1735 or earlier,"chorale setting ""Nun lob, mein Seel, den Herren""",C maj.,SATB,39: 249,III/2.1: 32 III/2.2: 159,after Z 8244; text by Gramann after Ps. 103,00459
390,5.,c. 1735 or earlier,"chorale setting ""Nun lob, mein Seel, den Herren""",C maj.,SATB,39: 250,III/2.1: 58 III/2.2: 176,after Z 8244; text by Gramann after Ps. 103,00460
391,5.,1750 or earlier,"chorale setting ""Nun preiset alle Gottes Barmherzigkeit""",G maj.,SATB,39: 250,III/2.2: 131,after Z 4089a; text by Löwenstern,00461
392,5.,1734–1750,"chorale setting ""Nun ruhen alle Wälder""",B♭ maj.,SATB,39: 251,III/2.2: 172,after BWV 97/9; text by Gerhardt,00462
396,5.,1750 or earlier,"chorale setting ""Nun sich der Tag geendet hat""",A min.,SATB,39: 252,III/2.2: 142,after Z 212b; text by Krieger,00466
397,5.,c. 1735 or earlier,"chorale setting ""O Ewigkeit, du Donnerwort""",F maj.,SATB,39: 253,III/2.1: 23 III/2.2: 163,after Z 5820; text by Johann Rist; ↔ BWV 513,00467
398,5.,c. 1728–1729,"chorale setting ""O Gott, du frommer Gott""",D maj.,SATB,39: 254,III/2.2: 182,after Z 5206b; text by Heermann; ↔ BWV 197a/7,00468
399,5.,1750 or earlier,"chorale setting ""O Gott, du frommer Gott""",G maj.,SATB,39: 254,III/2.2: 184,after Z 5148; text by Heermann,00469
400,5.,1750 or earlier,"chorale setting ""O Herzensangst""",E♭ maj.,SATB,39: 255,III/2.2: 99,↔ Z 1003; text by Müller von Königsberg,00470
401,5.,1750 or earlier,"chorale setting ""O Lamm Gottes, unschuldig""",F maj.,SATB,39: 255,III/2.2: 94,after Z 4361a; text by Decius after Agnus Dei,00471
402,5.,1750 or earlier,"chorale setting ""O Mensch, bewein dein Sünde groß""",E♭ maj.,SATB,39: 256,III/2.2: 114,after Z 8303; text by Heyden,00472
403,5.,1750 or earlier,"chorale setting ""O Mensch, schau Jesum Christum an""",G Dor.,SATB,39: 257,III/2.2: 116,after Z 3994a–b; text by Specht; ↔ Z 3994c,00473
404,5.,1750 or earlier,"chorale setting ""O Traurigkeit, o Herzeleid""",A min.,SATB,39: 257,III/2.2: 34,after Z 1915; text by Rist,00474
404,5.,1750 or earlier,"chorale setting ""O Traurigkeit, o Herzeleid""",F min.,SATB,,III/2.2: 215,after Z 1915; text by Rist,00474
393,5.,c. 1735 or earlier,"chorale setting ""O Welt, sieh hier dein Leben""",A maj.,SATB,39: 251,III/2.1: 44 III/2.2: 163,after Z 2293b; text by Gerhardt,00463
394,5.,c. 1735 or earlier,"chorale setting ""O Welt, sieh hier dein Leben""",A maj.,SATB,39: 252,III/2.1: 96 III/2.2: 210,after Z 2293b; text by Gerhardt,00464
395,5.,1724–1750,"chorale setting ""O Welt, sieh hier dein Leben""",A maj.,SATB,39: 252,III/2.2: 208,after BWV 245/11; text by Gerhardt,00465
405,5.,1750 or earlier,"chorale setting ""O wie selig seid ihr doch, ihr Frommen""",D min.,SATB,39: 258,III/2.2: 124,after Z 1583; text by Dach; ↔ BWV 495,00475
406,5.,1750 or earlier,"chorale setting ""O wie selig seid ihr doch, ihr Frommen""",D min.,SATB,39: 258,III/2.2: 129,after Z 1581; text by Dach,00476
407,5.,1750 or earlier,"chorale setting ""O wir armen Sünder""",D maj.,SATB,39: 258,III/2.2: 114,after Z 8187c; text by Bonnus ,00477
408,5.,1750 or earlier,"chorale setting ""Schaut, ihr Sünder""",G Dor.,SATB,39: 259,III/2.2: 98,after Z 8569/B; text by Löwenstern,00478
409,5.,1750 or earlier,"chorale setting ""Seelenbräutigam""",A maj.,SATB,39: 260,"III/2.2: 82, 216",after Z 3255a–b; text by Drese; ↔ BWV 496,00479
410,5.,1750 or earlier,"chorale setting ""Sei gegrüßet, Jesu gütig""",G min.,SATB,39: 260,III/2.2: 98,after Z 3889b; text by Keymann; ↔ BWV 499,00480
411,5.,1750 or earlier,"chorale setting ""Singt dem Herrn ein neues Lied""",G maj.,SATB,39: 260,III/2.2: 146,after Z 6424; text by Löwenstern,00481
412,5.,1750 or earlier,"chorale setting ""So gibst du nun, mein Jesu, gute Nacht""",G Dor.,SATB,39: 261,III/2.2: 119,after Z 849; text by Pfeiffer ; ↔ BWV 501,00482
413,5.,1750 or earlier,"chorale setting ""Sollt ich meinem Gott nicht singen""",D min.,SATB,39: 262,III/2.2: 130,after Z 7886b; text by Gerhardt; ↔ BWV 481,00483
414,5.,1750 or earlier,"chorale setting ""Uns ist ein Kindlein heut geborn""",G maj.,SATB,39: 262,III/2.2: 86,after Z 439; ↔ BWV 253,00484
415,5.,1750 or earlier,"chorale setting ""Valet will ich dir geben""",D maj.,SATB,39: 263,III/2.2: 16,after Z 5404a; text by Herberger,00485
416,5.,1724-04-07,"chorale setting ""Vater unser im Himmelreich""",D min.,SATB,39: 263,III/2.1: 94 III/2.2: 27,after Z 2561; text by Luther after Mt 6:9–13; ↔ BWV 245.1/5,00486
417,5.,c. 1735 or earlier,"chorale setting ""Von Gott will ich nicht lassen""",B min.,SATB,39: 264,III/2.1: 92 III/2.2: 209,after Z 5264b; text by Helmbold,00487
418,5.,1750 or earlier,"chorale setting ""Von Gott will ich nicht lassen""",A min.,SATB,39: 264,III/2.2: 192,after Z 5264b; text by Helmbold,00488
419,5.,1726–1761 (CPE),"chorale setting ""Helft mir Gotts Güte preisen""",A min.,SATB,39: 265,III/2.2: 64,"by Bach, C. P. E.; after BWV 16/6; text by Eber",00489
419,5.,1726–1761 (CPE),"chorale setting ""Von Gott will ich nicht lassen""",A min.,SATB,39: 265,III/2.2: 64,"by Bach, C. P. E.; after BWV 16/6; text by Helmbold",00489
257,5.,c. 1735 or earlier,"chorale setting ""Wär Gott nicht mit uns diese Zeit""",A min.,SATB,39: 178,III/2.1: 46 III/2.2: 170,after Z 4441a; text by Luther after Ps. 124,00327
420,5.,1750 or earlier,"chorale setting ""Warum betrübst du dich, mein Herz""",A min.,SATB,39: 265,III/2.2: 84,after Z 1689a,00490
421,5.,c. 1735 or earlier,"chorale setting ""Warum betrübst du dich, mein Herz""",A min.,SATB,39: 266,III/2.1: 65 III/2.2: 178,after Z 1689a; ↔ BWV 1164/2,00491
422,5.,c. 1735 or earlier,"chorale setting ""Warum sollt ich mich denn grämen""",G Mix.,SATB,39: 266,III/2.1: 82 III/2.2: 204,after Z 6461; → Z 6462; text by Gerhardt,00492
423,5.,1750 or earlier,"chorale setting ""Was betrübst du dich, mein Herze""",G Dor.,SATB,39: 267,III/2.2: 140,↔ Z 6830; text by Herrmann [wikisource:de],00493
424,5.,1750 or earlier,"chorale setting ""Was bist du doch, o Seele, so betrübet""",A min.,SATB,39: 267,III/2.2: 108,"after Z 1837; text by Schultt, R. F. ; ↔ BWV 506",00494
425,5.,1750 or earlier,"chorale setting ""Was willst du dich, o meine Seele, kränken""",A min.,SATB,39: 268,III/2.2: 142,after Z 7844; text by Werder ,00495
426,5.,1750 or earlier,"chorale setting ""Weltlich Ehr und zeitlich Gut""",C maj.,SATB,39: 269,III/2.2: 122,after Z 4972; text by Weiße,00496
427,5.,1750 or earlier,"chorale setting ""Wenn ich in Angst und Not""",E♭ maj.,SATB,39: 269,III/2.2: 85,after Z 4233; text by Löwenstern,00497
428,5.,1750 or earlier,"chorale setting ""Wenn mein Stündlein verhanden ist""",G maj.,SATB,39: 270,III/2.2: 187,after Z 4482a; text by Herman,00498
429,5.,c. 1735 or earlier,"chorale setting ""Wenn mein Stündlein verhanden ist""",A maj.,SATB,39: 270,III/2.1: 91 III/2.2: 29,after Z 4482a; text by Herman,00499
430,5.,c. 1735 or earlier,"chorale setting ""Wenn mein Stündlein verhanden ist""",A maj.,SATB,39: 271,III/2.1: 68 III/2.2: 201,after Z 4482a; text by Herman,00500
431,5.,1750 or earlier,"chorale setting ""Wenn wir in höchsten Nöten sein""",F maj.,SATB,39: 272,III/2.2: 38,after Z 394; text by Eber,00501
432,5.,1750 or earlier,"chorale setting ""Wenn wir in höchsten Nöten sein""",G maj.,SATB,39: 272,III/2.2: 146,after Z 394; text by Eber,00502
433,5.,1750 or earlier,"chorale setting ""Wer Gott vertraut, hat wohl gebaut""",G maj.,SATB,39: 273,III/2.2: 78,after Z 8207; text by Magdeburg ,00503
434,5.,c. 1735 or earlier,"chorale setting ""Wer weiß, wie nahe mir mein Ende""",A min.,SATB,39: 273,III/2.1: 38,after Z 2778; text by Emilie Juliane of B-M,00504
434,5.,c. 1735 or earlier,"chorale setting ""Wer nur den lieben Gott lässt walten""",A min.,SATB,39: 273,III/2.2: 85,after Z 2778; text by Neumark,00504
435,5.,1750 or earlier,"chorale setting ""Wie bist du, Seele, in mir so gar betrübt""",E min.,SATB,39: 274,III/2.2: 143,after Z 4092; text by Zeutschner ,00505
436,5.,c. 1735 or earlier,"chorale setting ""Wie schön leuchtet der Morgenstern""",E maj.,SATB,39: 274,III/2.1: 45 III/2.2: 165,after Z 8359; text by Nicolai,00506
437,5.,1750 or earlier,"chorale setting ""Wir glauben all an einen Gott""",D Dor.,SATB,39: 275,III/2.2: 76,after Z 7971; text by Luther after Creed,00507
258,5.,1750 or earlier,"chorale setting ""Wo Gott der Herr nicht bei uns hält""",B min.,SATB,39: 179,III/2.2: 194,after Z 4441a; text by Jonas,00328
438,5.,1750 or earlier,"chorale setting ""Wo Gott zum Haus nicht gibt sein Gunst""",F maj.,SATB,39: 276,III/2.2: 90,after Z 305; text by Kolross,00508
500a,5.,1726-04-19,"chorale setting ""So gehst du nun, mein Jesu, hin"" (in Bach's Leipzig versions of St Mark Passion attributed to Keiser)",,SATB Str Bc,,II/9: 75,text by Nachtenhöfer ; ↔ BWV 500,00571
1084,5.,1726-04-19,"chorale setting ""O hilf Christe, Gottes Sohn"" (in Bach's Leipzig versions of St Mark Passion attributed to Keiser)",,SATB Str Bc,,II/9: 76,text by Weiße; after BC D 5a/14,01270
1089,5.,,"chorale setting ""Da Jesus an dem Kreuze stund""",,SATB,,III/2.2: 216,text by Lilius ,01275
1122,5.,c. 1735 or earlier,"chorale setting ""Denket doch, ihr Menschenkinder""",F maj.,SATB,,III/2.1: 31 III/2.2: 217,text by Hübner?,01720
1123,5.,c. 1735 or earlier,"chorale setting ""Wo Gott zum Haus gibt nicht sein Gunst""",G maj.,SATB,,III/2.1: 40,after Z 305; text by Kolross,01721
1124,5.,c. 1735 or earlier,"chorale setting ""Ich ruf zu dir, Herr Jesu Christ""",E min.,SATB,,III/2.1: 51,"after Z 7400; text by Agricola, J.",01722
1125,5.,c. 1735 or earlier,"chorale setting ""O Gott, du frommer Gott""",D maj.,SATB,,III/2.1: 79,after Z 5206b; text by Heermann,01723
1126,5.,,"chorale setting ""Lobet Gott, unsern Herren""",,SATB,,III/2.2: 218,,01724
6.,"Songs, Arias and Quodlibet (see also: List of songs and arias of Johann Sebastian Bach)","Songs, Arias and Quodlibet (see also: List of songs and arias of Johann Sebastian Bach)","Songs, Arias and Quodlibet (see also: List of songs and arias of Johann Sebastian Bach)","Songs, Arias and Quodlibet (see also: List of songs and arias of Johann Sebastian Bach)","Songs, Arias and Quodlibet (see also: List of songs and arias of Johann Sebastian Bach)","Songs, Arias and Quodlibet (see also: List of songs and arias of Johann Sebastian Bach)","Songs, Arias and Quodlibet (see also: List of songs and arias of Johann Sebastian Bach)","Songs, Arias and Quodlibet (see also: List of songs and arias of Johann Sebastian Bach)",Up ↑
439,6.,1735–1736 or earlier,"song ""Ach, dass nicht die letzte Stunde"" (Schemelli #831; tune #56)",,V Bc,39: 279,III/2.1: 210,↔ Z 6721; text by Neumeister,00509
440,6.,1735–1736 or earlier,"song ""Auf, auf! die rechte Zeit ist hier"" (Schemelli #171; tune #11)",,V Bc,39: 279,III/2.1: 123,↔ Z 705; text by Opitz,00510
441,6.,c. 1735 or earlier,"chorale setting ""Auf, auf, mein Herz, mit Freuden""",F maj.,SATB,,III/2.1: 67,after Z 5243; text by Gerhardt,00511
441,6.,1735–1736 or earlier,"song ""Auf, auf, mein Herz, mit Freuden"" (Schemelli #320; tune #27)",F maj.,V Bc,39: 279,III/2.1: 152,after Z 5243; text by Gerhardt,00511
442,6.,1735–1736 or earlier,"song ""Beglückter Stand getreuer Seelen"" (Schemelli #570; tune #39)",,V Bc,39: 280,III/2.1: 176,after Z 5970; text by Bonin ,00512
443,6.,1735–1736 or earlier,"song ""Beschränkt, ihr Weisen dieser Welt"" (Schemelli #689; tune #47)",,V Bc,39: 280,III/2.1: 192,↔ Z 7765; text by Wegleiter [wikisource:de],00513
444,6.,1735–1736 or earlier,"song ""Brich entzwei, mein armes Herze"" (Schemelli #303; tune #24)",,V Bc,39: 280,III/2.1: 146,after Z 7110–7111a; → Z 7111b; text by Trommer ,00514
445,6.,1735–1736 or earlier,"song ""Brunnquell aller Güter"" (Schemelli #335; tune #29)",,V Bc,39: 281,III/2.1: 156,"after Z 6252b; text by Franck, J.",00515
446,6.,1735–1736 or earlier,"song ""Der lieben Sonnen Licht und Pracht"" (Schemelli #39; tune #2)",,V Bc,39: 281,III/2.1: 106,after Z 5659; text by Scriver,00516
447,6.,1735–1736 or earlier,"song ""Der Tag ist hin, die Sonne gehet nieder"" (Schemelli #40; tune #3)",,V Bc,39: 281,III/2.1: 108,after Z 923; ↔ BWV 297; text by Rube ,00517
448,6.,1735–1736 or earlier,"song ""Der Tag mit seinem Lichte"" (Schemelli #43; tune #4)",,V Bc,39: 282,III/2.1: 110,after Z 7512b; text by Gerhardt,00518
449,6.,1735–1736 or earlier,"song ""Dich bet ich an, mein höchster Gott"" (Schemelli #396; tune #31)",,V Bc,39: 282,III/2.1: 160,"↔ Z 2437; text by Olearius, J. G. ",00519
450,6.,1735–1736 or earlier,"song ""Die bittre Leidenszeit beginnet abermal"" (Schemelli #258; tune #17)",,V Bc,39: 282,III/2.1: 134,after Z 7429; text by Elmenhorst ,00520
451,6.,1735–1736 or earlier,"song ""Die güldne Sonne"" (Schemelli #13; tune #1)",,V Bc,39: 283,III/2.1: 104,after Z 8015; text by Gerhardt,00521
452,6.,1735–1736 or earlier,"song ""Dir, dir, Jehova, will ich singen"" (Schemelli #397; tune #32)",,V Bc,39: 284,III/2.1: 162,after BWV 299; → Z 3068; text by Crasselius,00522
453,6.,1735–1736 or earlier,"song ""Eins ist not! ach Herr, dies Eine"" (Schemelli #112; tune #7)",,V Bc,39: 284,III/2.1: 116,↔ Z 7129; text by Schröder ,00523
454,6.,1735–1736 or earlier,"song ""Ermuntre dich, mein schwacher Geist"" (Schemelli #187; tune #12)",,V Bc,39: 284,III/2.1: 124,after Z 5741; text by Rist,00524
455,6.,1735–1736 or earlier,"song ""Erwürgtes Lamm, das die verwahrten Siegel"" (Schemelli #580; tune #43)",,V Bc,39: 285,III/2.1: 184,after Z 3138; text by Bonin ,00525
456,6.,1735–1736 or earlier,"song ""Es glänzet der Christen inwendiges Leben"" (Schemelli #572; tune #40)",,V Bc,39: 285,III/2.1: 178,after Z 6969; text by Richter,00526
457,6.,1735–1736 or earlier,"song ""Es ist nun aus mit meinem Leben"" (Schemelli #847; tune #57)",,V Bc,39: 286,III/2.1: 212,after Z 6969; text by Omeis ,00527
458,6.,1735–1736 or earlier,"song ""Es ist vollbracht! Vergiss ja nicht dies Wort"" (Schemelli #306; tune #25)",,V Bc,39: 286,III/2.1: 148,after Z 2692; text by Schmidt ,00528
459,6.,1735–1736 or earlier,"song ""Es kostet viel, ein Christ zu sein"" (Schemelli #522; tune #38)",,V Bc,39: 286,III/2.1: 174,after Z 2727; text by Richter,00529
460,6.,1735–1736 or earlier,"song ""Gib dich zufrieden und sei stille"" (Schemelli #647; tune #45)",,V Bc,39: 288,III/2.1: 188,after Z 7415; text by Gerhardt,00530
461,6.,1735–1736 or earlier,"song ""Gott lebet noch"" (Schemelli #488; tune #37)",,V Bc,39: 288,III/2.1: 172,after Z 7951; ↔ BWV 320; text by Zihn ,00531
462,6.,1735–1736 or earlier,"song ""Gott wie groß ist deine Güte"" (Schemelli #360; tune #30)",,V Bc,39: 289,III/2.1: 158,text by Schemelli; → Z 7937,00532
463,6.,1735–1736 or earlier,"song ""Herr, nicht schicke deine Rache"" (Schemelli #78; tune #5)",,V Bc,39: 289,III/2.1: 112,after Z 6863; text by Opitz,00533
464,6.,1735–1736 or earlier,"song ""Ich bin ja, Herr, in deiner Macht"" (Schemelli #861; tune #58)",,V Bc,39: 290,III/2.1: 214,after Z 5869a; text by Dach,00534
465,6.,1735–1736 or earlier,"song ""Ich freue mich in dir"" (Schemelli #194; tune #13)",,V Bc,39: 290,III/2.1: 126,"after Z 5138; text by Ziegler, C.",00535
466,6.,1735–1736 or earlier,"song ""Ich halte treulich still"" (Schemelli #657; tune #46)",,V Bc,39: 290,III/2.1: 190,text by Till ; → Z 5082,00536
467,6.,1735–1736 or earlier,"song ""Ich lass dich nicht"" (Schemelli #734; tune #51)",,V Bc,39: 291,III/2.1: 200,after Z 7455; text by Deßler ,00537
468,6.,1735–1736 or earlier,"song ""Ich liebe Jesum alle Stund"" (Schemelli #737; tune #52)",,V Bc,39: 291,III/2.1: 202,after Z 4731; → Z 4732,00538
469,6.,1735–1736 or earlier,"song ""Ich steh an deiner Krippen hier"" (Schemelli #195; tune #14)",,V Bc,39: 292,III/2.1: 128,↔ Z 4663; text by Gerhardt,00539
476,6.,1735–1736 or earlier,"song ""Ihr Gestirn, ihr hohlen Lüfte"" (Schemelli #197; tune #15)",,V Bc,39: 294,III/2.1: 130,"after Z 3703; text by Franck, J.",00546
471,6.,1735–1736 or earlier,"song ""Jesu, deine Liebeswunden"" (Schemelli #139; tune #10)",,V Bc,39: 292,III/2.1: 122,text by Wegleit. [wikisource:de]?; → Z 1302,00541
470,6.,1735–1736 or earlier,"song ""Jesu, Jesu, du bist mein"" (Schemelli #741; tune #53)",,V Bc,39: 292,III/2.1: 204,↔ BWV 357; → Z 6446,00540
472,6.,1735–1736 or earlier,"song ""Jesu, meines Glaubens Zier"" (Schemelli #119; tune #8)",,V Bc,39: 293,III/2.1: 118,after Z 6453; text by Sacer,00542
473,6.,1735–1736 or earlier,"song ""Jesu, meines Herzens Freud"" (Schemelli #696; tune #48)",,V Bc,39: 293,III/2.1: 194,after Z 4797–4798; text by Flittner ,00543
474,6.,1735–1736 or earlier,"song ""Jesus ist das schönste Licht"" (Schemelli #463; tune #33)",,V Bc,39: 293,III/2.1: 164,after Z 6412; text by Richter,00544
475,6.,1735–1736 or earlier,"song ""Jesus, unser Trost und Leben"" (Schemelli #333; tune #28)",,V Bc,39: 294,III/2.1: 154,after Z 4918; text by Homburg ,00545
477,6.,1735–1736 or earlier,"song ""Kein Stündlein geht dahin"" (Schemelli #869; tune #60)",,V Bc,39: 294,III/2.1: 218,"after 4243b; text by Franck, M.?",00547
478,6.,1735–1736 or earlier,"song ""Komm, süßer Tod"" (Schemelli #868; tune #59)",,V Bc,39: 295,III/2.1: 216,→ Z 4400,00548
479,6.,1735–1736 or earlier,"song ""Kommt, Seelen, dieser Tag"" (Schemelli #936; tune #67)",,V Bc,39: 295,III/2.1: 232,→ Z 5185; text by Löscher,00549
480,6.,1735–1736 or earlier,"song ""Kommt wieder aus der finstern Gruft"" (Schemelli #938; tune #68)",,V Bc,39: 296,III/2.1: 234,→ Z 4709; text by Löscher,00550
481,6.,1735–1736 or earlier,"song ""Lasset uns mit Jesu ziehen"" (Schemelli #281; tune #18)",,V Bc,39: 296,III/2.1: 136,after Z 7886b; ↔ BWV 413; text by Birken,00551
482,6.,1735–1736 or earlier,"song ""Liebes Herz, bedenke doch"" (Schemelli #467; tune #34)",,V Bc,39: 297,III/2.1: 166,after Z 6434; text by Koitsch ,00552
483,6.,1735–1736 or earlier,"song ""Liebster Gott, wann werd ich sterben"" (Schemelli #873; tune #61)",E♭ maj.,V Bc,39: 297,III/2.1: 220,after Z 6634; text by Neumann,00553
484,6.,1735–1736 or earlier,"song ""Liebster Herr Jesu, wo bleibst du so lange"" (Schemelli #874; tune #62)",,V Bc,39: 298,III/2.1: 222,↔ Z 3969; text by Weselowius ,00554
485,6.,1735–1736 or earlier,"song ""Liebster Immanuel, Herzog der Frommen"" (Schemelli #761; tune #54)",,V Bc,39: 298,III/2.1: 206,after Z 4932c; text by Fritsch,00555
488,6.,1735–1736 or earlier,"song ""Meines Lebens letzte Zeit"" (Schemelli #881; tune #63)",,V Bc,39: 299,III/2.1: 224,after Z 6380; ↔ BWV 381,00558
486,6.,1735–1736 or earlier,"song ""Mein Jesu, dem die Seraphinen"" (Schemelli #121; tune #9)",,V Bc,39: 298,III/2.1: 120,after Z 5988; text by Deßler ,00556
487,6.,1735–1736 or earlier,"song ""Mein Jesu! was vor Seelenweh"" (Schemelli #283; tune #19)",,V Bc,39: 299,III/2.1: 138,text by Schemelli?; → Z 8383,00557
489,6.,1735–1736 or earlier,"song ""Nicht so traurig, nicht so sehr"" (Schemelli #574; tune #41)",,V Bc,39: 300,III/2.1: 180,after Z 3342; text by Gerhardt?,00559
490,6.,1735–1736 or earlier,"song ""Nur mein Jesus ist mein Leben"" (Schemelli #700; tune #49)",,V Bc,39: 300,III/2.1: 196,after Z 8404c,00560
491,6.,1735–1736 or earlier,"song ""O du Liebe meiner Liebe"" (Schemelli #284; tune #20)",,V Bc,39: 300,III/2.1: 140,after Z 6693; text by Senitz ,00561
492,6.,1735–1736 or earlier,"song ""O finstre Nacht, wenn wirst du doch vergehen"" (Schemelli #891; tune #64)",,V Bc,39: 301,III/2.1: 226,↔ Z 6171; text by Breithaupt ,00562
