BWV,2a,Date,Name,Key,Scoring,BG,NBE,Additional info,BD
21.3,1.,1723-06-13,Cantata Ich hatte viel Bekümmernis (3rd version: Trinity III),C min.,satbSATB 3Tr Tmp 4Tne Ob Str Bas Bc,51: 1,I/16,after BWV 21.2 (same text),00026
22,1.,1723-02-07,Cantata Jesus nahm zu sich die Zwölfe (Estomihi),,satbSATB Ob Str Bc,51: 65,I/8: 1,"after Z 4297a (/5); text after Luke 18:31, 34 (/1), by Cruciger (/5)",00027
23.1,1.,1723,"Cantata Du wahrer Gott und Davids Sohn (1st version, 3 movements: Estomihi)",C min.,satbSATB 2Ob Str Bc,51: 93,I/8: 33,"→ BWV 23.2, .3",00028
23.2,1.,1723-02-07,"Cantata Du wahrer Gott und Davids Sohn (2nd version, 4 movements: Estomihi)",B min.,satbSATB Cnt 3Tbn 2Oba Str Bc,,I/8: 69,"after BWV 23.1, Z 58 (/4); text by Luther after Agnus Dei (/4); → BWV 23.3, 245.2/40",00029
23.3,1.,1728–1731,"Cantata Du wahrer Gott und Davids Sohn (3rd version, 4 movements: Estomihi)",C min.,satbSATB 2Ob Str Bc,51: 93,I/8: 33,"after BWV 23.1, .2; text by Luther after Agnus Dei (/4)",00030
24,1.,1723-06-20,Cantata Ein ungefärbt Gemüte (Trinity IV),F maj.,satbSATB Tr 2Ob 2Oba Str Bc,51: 125,I/17.1: 47,"after Z 5148 (/6); text by Neumeister, Heermann (/6), after Mt 7:12 (/3)",00031
24/6,1.,1723-06-20,"chorale setting ""O Gott, du frommer Gott"" (s. 1)",F maj.,SATB,51: 150,III/2.2: 195,after Z 5148; text by Heermann,11333
24/6,1.,1723-06-20,"chorale setting ""Was frag ich nach der Welt""",F maj.,SATB,51: 150,III/2.2: 195,after Z 5148; text by Kindermann,11333
25,1.,1723-08-29,Cantata Es ist nichts Gesundes an meinem Leibe (Trinity XIV),E min.,stbSATB Cnt 3Tbn 3Fl 2Ob Str Bc,51: 153,I/21: 79,"after Z 6543 (/6); text after Rambach, Ps 38:4 (/1), by Heermann (/6)",00032
25/6,1.,1723-08-29,"chorale setting ""Treuer Gott, ich muss dir klagen"" (s. 12)",C maj.,SATB,51: 188,III/2.1: 15 III/2.2: 150,after Z 6543; text by Heermann,11177
25/6,1.,1723-08-29,"chorale setting ""Weg, mein Herz, mit den Gedenken""",C maj.,SATB,51: 188,III/2.1: 15 III/2.2: 150,after Z 6543; text by Gerhardt,11177
25/6,1.,1723-08-29,"chorale setting ""Freu dich sehr, o meine Seele""",C maj.,SATB,51: 188,III/2.2: 168,after Z 6543,11177
26,1.,1724-11-19,"Cantata Ach wie flüchtig, ach wie nichtig (Trinity XXIV)",A min.,satbSATB Hn Fl 3Ob Str Bc,51: 189,I/27: 29,"after Z 1887b; text after Franck, M.",00033
26/6,1.,1724-11-19,"chorale setting ""Ach wie flüchtig, ach wie nichtig"" (s. 8)",A min.,SATB,51: 216,III/2.2: 28,"after Z 1887b; text by Franck, M.",11289
27,1.,1726-10-06,"Cantata Wer weiß, wie nahe mir mein Ende? (Trinity XVI)",C min.,satbSSATB Hn 2Ob Odc Str Org Bc,51: 217,I/23: 221,"after Z 2778 (/1); by Rosenmüller (/6 = BWV Anh. 170); text by E. J. of Schwarzburg-Rudolstadt (/1), Albinus (/6), after Neumeister (/3)",00034
28,1.,1725-12-30,Cantata Gottlob! nun geht das Jahr zu Ende (Christmas I),A min.,satbSATB Cnt 3Tbn 2Ob Tai Str Bc,51: 245,I/3.2: 75,"after Z 8244 (/2), 5267 (/6); text by Neumeister, Gramann (/2), Eber (/6), after Jer 32:41 (/3); → BWV 28/2a, Anh. 160/2",00035
28/6,1.,1725-12-30,"chorale setting ""Helft mir Gotts Güte preisen"" (s. 12)",A min.,SATB,51: 272,III/2.1: 13 III/2.2: 49,after Z 5267; text by Eber,11175
28/6,1.,1725-12-30,"chorale setting ""Zeuch ein zu deinen Toren""",A min.,SATB,51: 272,III/2.2: 15,after Z 5267; text by Gerhardt,11175
28/2a,1.,1725?,Motet Sei Lob und Preis mit Ehren,C maj.,SATB,39: 167,III/3: 15,after BWV 28/2; ↔ Anh. 160/2; was BWV 231,00036
29,1.,1731-08-27,"Cantata Wir danken dir, Gott, wir danken dir (council election)",D maj.,satbSATB 3Tr Tmp 2Ob Str Org Bc,51: 273,I/32.2: 1,"after BWV 120.2/4 (/1), Z 8244 (/8); text after Ps 75:2 (/2; → BWV 232/7, /23), by Gramann (/8)",00037
29/8,1.,1731-08-27,"chorale setting ""Nun lob, mein Seel, den Herren"" (s. 5)",D maj.,SATB,51: 316,III/2.2: 65,after Z 8244; text by Gramann,11331
30.2,1.,1738-06-24,"Cantata Freue dich, erlöste Schar (24 June: feast of John the Baptist)",D maj.,satbSATB 2Fl 2Ob Oba Vl Str Bc,51: 321,I/29: 59,"after BWV 30.1, Z 6543 (/6); text by Picander?, Olearius, J. (/6)",00038
30.2/6,1.,1738-06-24,"chorale setting ""Tröstet, tröstet, meine Lieben"" (s. 3)",A maj.,SATB,51: 360,III/2.2: 42,"after Z 6543; text by Olearius, J.",11318
30.2/6,1.,1738-06-24,"chorale setting ""Freu dich sehr, o meine Seele""",G maj.,SATB,51: 360,III/2.2: 42,after Z 6543,11318
30.1,1.,1737-09-28,Secular cantata Angenehmes Wiederau (for Hennicke  at Wiederau  manor),D maj.,satbSATB 3Tr Tmp 2Fl 2Ob Oba Str Bc,51: 399 34: 325,I/39: 51,"text by Picander; → BWV 30.2, 195.2/6, /8",00039
31.2,1.,1724-04-09,Cantata Der Himmel lacht! Die Erde jubilieret (Leipzig version: Easter),C maj.,stbSSATB 3Tr Tmp Ob 2Oba Bas 2Vl 2Va Bc,7: 1,I/9: 41,after BWV 31.1 (same text),00040
